姓名,排名,兵器,封号
宋江,1,锟铻剑,呼保义
卢俊义,2,麒麟黄金枪,玉麒麟
吴用,3,七星坛羽扇,智多星
公孙胜,4,松纹古定剑,入云龙
关胜,5,青龙偃月刀,大刀
林冲,6,丈八蛇矛,豹子头
秦明,7,狼牙烽火棒,霹雳火
呼延灼,8,双鞭,双鞭
花荣,9,天地日月弓,小李广
柴进,10,旋火盘龙棍,小旋风
李应,11,浑铁点钢枪,扑天雕
朱仝,12,九龙朝阳刀,美髯公
鲁智深,13,水磨禅杖,花和尚
武松,14,雪花镔铁戒刀,清忠祖师
董平,15,双枪,双枪将
张清,16,飞蝗石,没羽箭
杨志,17,杨家铁枪,青面兽
徐宁,18,钩镰枪,金枪手
索超,19,开山金蘸斧,急先锋
戴宗,20,甲马,神行太保
刘唐,21,朴刀,赤发鬼
李逵,22,双板斧,黑旋风
史进,23,青龙棍,九纹龙
穆弘,24,铁背鳌龙刀,没遮拦
雷横,25,飞虎裂碎刀,插翅虎
李俊,26,七宝分水刀,混江龙
阮小二,27,玄铁霸王刀,立地太岁
张横,28,烈焰双刀,船火儿
阮小五,29,鳄鱼尾开山刀,短命二郎
张顺,30,鱼肠剑,浪里白条
阮小七,31,龙王刺,活阎罗
杨雄,32,冷艳锯齿刀,病关索
石秀,33,七彩雁翎刀,拼命三郎
解珍,34,豹尾五股叉,两头蛇
解宝,35,穿山利爪刀,双尾蝎
燕青,36,飞燕弩,浪子
朱武,37,妖刀,神机军师
黄信,38,丧门剑,镇三山
孙立,39,乌龙九节鞭,病尉迟
宣赞,40,赤铜刀,丑郡马
郝思文,41,方天画戟,井木犴
韩滔,42,枣木槊,百胜将
彭玘,43,三尖两刃刀,天目将
单廷珪,44,黑水河枪,圣水将
魏定国,45,烈焰弓,神火将
萧让,46,文房四宝,圣手书生
裴宣,47,阴阳戒刀,铁面孔目
欧鹏,48,溜子追风刀,摩云金翅
邓飞,49,铁链飞锤,火眼狻猊
燕顺,50,折骨追风刀,锦毛虎
杨林,51,五股托天叉,锦豹子
凌振,52,子母雷炮,轰天雷
蒋敬,53,算盘铁尺,神算子
吕方,54,方天画戟,小温侯
郭盛,55,方天画戟,赛仁贵
安道全,56,药箱银针,神医
皇甫端,57,兽医针具,紫髯伯
王英,58,追风双刀,矮脚虎
扈三娘,59,日月双刀,一丈青
鲍旭,60,鬼王刀,丧门神
樊瑞,61,混元剑,混世魔王
孔明,62,狼牙棒,毛头星
孔亮,63,狼牙棍,独火星
项充,64,飞天铁盾,八臂哪吒
李衮,65,滚风标枪,飞天大圣
金大坚,66,刻刀凿子,玉臂匠
马麟,67,圆月弯刀,铁笛仙
童威,68,分水双刃刀,出洞蛟
童猛,69,翻江斩,翻江蜃
孟康,70,开山斧,玉幡竿
侯健,71,裁缝剪刀,通臂猿
陈达,72,白点钢枪,跳涧虎
杨春,73,大杆刀,白花蛇
郑天寿,74,吴钩剑,白面郎君
陶宗旺,75,铁锹,九尾龟
宋清,76,朴刀,铁扇子
乐和,77,短棍,铁叫子
龚旺,78,飞枪,花项虎
丁得孙,79,飞叉,中箭虎
穆春,80,短刀,小遮拦
曹正,81,杀猪尖刀,操刀鬼
宋万,82,云月刀,云里金刚
杜迁,83,开山刀,摸着天
薛永,84,长枪,病大虫
施恩,85,九节鞭,金眼彪
李忠,86,梨花枪,打虎将
周通,87,走水绿沉枪,小霸王
汤隆,88,铁锤,金钱豹子
杜兴,89,鬼头刀,鬼脸儿
邹渊,90,龙虎棍,出林龙
邹润,91,独角拐,独角龙
朱贵,92,柳叶刀,旱地忽律
朱富,93,朴刀,笑面虎
蔡福,94,刽子手刀,铁臂膊
蔡庆,95,法场斩刀,一枝花
李立,96,剁骨刀,催命判官
李云,97,铁铸大刀,青眼虎
焦挺,98,徒手搏杀,没面目
石勇,99,阔刃刀,石将军
孙新,100,虎头枪,小尉迟
顾大嫂,101,双刀,母大虫
王定六,102,闪刃短剑,活闪婆
郁保四,103,帅字大旗,险道神
白胜,104,匕首,白日鼠
时迁,105,利刃暗器,鼓上蚤
段景住,106,套马索,金毛犬
皇甫端,107,医兽器具,兽医仙
萧嘉穗,108,文房宝剑,隐世贤士
